Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount,Stage,Sector
Chargeup,New Delhi,"""Battery as a Service"" for 3 wheeler & 2 wheelers",Mapmyindia,2021,0.0,Pre-Series A,Energy and Environment
Treebo Hotels,Bengaluru,Treebo Hotels is India's most loved hotel chain in the premium-budget segment.,Accor,2021,16000000.0,Series D,Technology
Supertails,Bengaluru,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Saama Capital, DSG Consumer Partners",2021,2600000.0,Pre-Series A,Healthcare and Wellness
SkilloVilla,Bengaluru,Mission to support young graduates in enhancing their learnings and transform them into big earnings.,Titan Capital,2021,300000.0,Seed Round,Education
Cancer Clinics,Telugana,"Cancer Helpline is a source of information and support, helping with all the things that people affected by cancer want and need.",Axilor,2021,1500000.0,Pre-Series A,Healthcare and Wellness
Velocity,Bengaluru,Velocity provides revenue-based-financing to online businesses. It aims to build the future of banking and financial services for new age businesses in India.,Valar Ventures,2021,1300000.0,Seed Round,Finance and FinTech
Happy Jars,New Delhi,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.",Inflection Point Ventures,2021,400000.0,Seed Round,Agriculture and Food
ExtraaEdge,Pune,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,"9Unicorns Accelerator Fund, Indian Angel Network",2021,1000000.0,Pre-Series A,Technology
Zotalabs,Pune,Zotalabs gives the power of Emerging Technology to your digital automation with our easy to use APIs.,Alfa Ventures,2021,1250000.0,Seed Round,Technology
Voiro,Bengaluru,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,1Crowd,2021,1800000.0,Pre-Series A,Advertisement
Rupifi,Bengaluru,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,Quona Capital,2021,4100000.0,Pre-Series A,Finance and FinTech
Moneyboxx,Mumbai,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,"Ashv Finance, BlackSoil Capital",2021,3000000.0,Debt Financing,Finance and FinTech
CityMall,Gurugram,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"WaterBridge Ventures, SAIF Partners",2021,11000000.0,Series A,E-Commerce and Retail
Janani,Bengaluru,Janani.ai is a fertility care provider.,"Sweta Rau, 9Unicorns Accelerator Fund",2021,1000000.0,Seed Round,Healthcare and Wellness
ReshaMandi,Bengaluru,India's 1st award winning technology led digital ecosystem for Silk,"Omnivore, Strive Ventures",2021,1700000.0,Seed Round,Agriculture and Food
DotPe,Gurugram,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,"PayU, Google",2021,27000000.0,Series A,Finance and FinTech
Settlrs,Bengaluru,"A B2B rental services company for furniture, home appliances, electronic and IT infrastructure.",MaGEHold Pte. Ltd.,2021,0.0,Pre-Series A,Real Estate and Construction
BYJU'S,Bengaluru,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"BlackRock, Owl Ventures",2021,460000000.0,Series F,Education
HealthPlix,Bengaluru,HealthPlix is a healthtech startup,"JSW Ventures, Kalaari Capital",2021,13500000.0,Series B,Healthcare and Wellness
Masai School,Bengaluru,Masai School is a job-oriented software training services.,"Unitus Ventures, Omidyar Network India",2021,5000000.0,Series A,Education
Stelis Biopharma,Bengaluru,Stelis Biopharma is a vertically integrated biopharmaceutical company.,"RouteOne, Mankekar Family Office",2021,195000000.0,Series B,Healthcare and Wellness
NeoDove,Jaipur,"Neodove is an AI-powered, end to end tech-enabled customer communication and reporting solution.",India Quotient,2021,15000000.0,Seed Round,Technology
KreditBee,Bengaluru,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Alpine Capital, PremjiInvest",2021,75000000.0,Seed Round,Finance and FinTech
True Balance,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Bon Angels Venture Partners, Daesung Private Equity",2021,10000000.0,Debt Financing,Finance and FinTech
Muvin,Bengaluru,Youth Neobank enabling financial solutions for the teenagers and young people,Undisclosed,2021,1000000.0,Seed Round,Finance and FinTech
FloBiz,Bengaluru,India’s first neobusiness platform,Elevation Capital,2021,10000000.0,Series A,Technology
Jeevam Health,New Delhi,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,Y Combinator,2021,1500000.0,Pre-Seed,Healthcare and Wellness
OZiva,Mumbai,OZiva is a plant-based Clean Nutrition Brand.,"F-Prime Capital, Eight Roads Ventures India",2021,12000000.0,Series B,Healthcare and Wellness
Blive,Panaji,B: Live is an electric vehicle tourism startup.,"Mumbai Angels, DNA Entertainment Networks",2021,1000000.0,Pre-Series A,Travel
Euler Motors,New Delhi,Electric Light Commercial Vehicle,"ADB Ventures, Jetty Ventures",2021,2600000.0,Series A,Transportation and Mobility
Pixxel,Bengaluru,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,"Techstars, Ryan Johnson",2021,7300000.0,Seed Round,Technology
Prescinto,Gujarat,Prescinto is the brain of a solar plant delivering Actionable Intelligence to Increase Generation.,"Venture Catalysts, 9Unicorns Accelerator Fund",2021,3500000.0,Seed Round,Energy and Environment
MyGlamm,Mumbai,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,Bessemer Venture Partners,2021,20000000.0,Series C,Cosmetics
Chirrup,Bengaluru,Video integrated social-gaming platform,"Titan Capital, iSeed, First Cheque, 3.0 Fund.",2021,300000.0,Pre-Seed,Media and Entertainment
Juicy Chemistry,Coimbatore,Juicy Chemistry operates as an eponymous consumer brand.,Akya Ventures,2021,6300000.0,Series A,Healthcare and Wellness
Indifi,Gurugram,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,"Elevar Equity, Accel India",2021,5000000.0,Debt Financing,Finance and FinTech
Firmway,Mumbai,Firmway is a platform that digitizes balance confirmation and reconciliation process.,Undisclosed,2021,0.0,Pre-Seed,Finance and FinTech
Say Cheese,Mumbai,"Say Cheese is the first holistic women-happiness platform in India, focused to increase the happiness of women through personalized solutions",Undisclosed,2021,1000000.0,Seed Round,Technology
Bimaplan,Mumbai,Affordable insurance for the next billion Indians,"Titan Capital, Y Combinator",2021,500000.0,Seed Round,Finance and FinTech
YAP,Chennai,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,"Jitendra Gupta, Better Capital",2021,10000000.0,Series B,Finance and FinTech
Leap Finance,Bengaluru,Leap Finance is a fintech startup for Indian students pursuing international higher education,Jungle Ventures,2021,17000000.0,Series B,Finance and FinTech
4baseCare,Bengaluru,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,"Mount Judi Ventures, growX Ventures, Season Two Ventures",2021,2000000.0,Pre-Series A,Healthcare and Wellness
Ezstays,New Delhi,"Ezstays is a leading student-life network, providing hostels and PG accommodation with top-tier living facilities at the best prices.",Richard Rekhy,2021,400000.0,Seed Round,Education
Stylework,Gurugram,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,Inflection Point Ventures,2021,500000.0,Pre-Series A,Real Estate and Construction
Riskcovry,Bengaluru,"Riskcovry is an ""Insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.","Better Capital, Bharat Inclusion Seed Fund",2021,5000000.0,Series A,Technology
Quizizz,Bengaluru,Quizizz is a Education based startup,"Eight Roads Ventures India, Nexus Venture Partners",2021,12500000.0,Series A,Education
Turtlemint,Mumbai,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,Jungle Ventures,2021,45000000.0,Series D,Technology
Captain Fresh,Bengaluru,Captain Fresh is a freshwater fish and seafood supply chain platform.,"Matrix Partners India, Ankur Capital",2021,3000000.0,Seed Round,Technology
Northern Arc,Chennai,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,"U.S. International Development Finance Corp, Asian Development Bank",2021,10000000.0,Debt Financing,Finance and FinTech
Qoohoo,Bengaluru,A platform for creators to build immersive connections with their fans and followers and monetize them.,Angel investors,2021,800000.0,Seed Round,Technology
The ePlane,Chennai,"Transforming the mobility landscape using aerial transport. Currently, we build drones for industrial applications","Speciale Invest, Farid Ahsan",2021,1000000.0,Seed Round,Drone
Questt,Gurugram,Questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content.,"Chiratae Ventures, AET Fund",2021,1000000.0,Seed Round,Education
DealShare,Jaipur,DealShare is a Social Commerce Startup,"Omidyar Network, Falcon Edge Capital",2021,3000000.0,Debt Financing,E-Commerce and Retail
Euler Motors,New Delhi,Electric Light Commercial Vehicle,"Jetty Ventures, Srinivas Anumolu",2021,4000000.0,Series A,Transportation and Mobility
KoineArth,Bengaluru,"Koinearth is a stealth mode startup working at the intersection of blockchains, machine learning and mechanism design",YourNest,2021,1800000.0,Pre-Series A,Finance and FinTech
Northern Arc,Chennai,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,"Asian Development Bank, U.S. International Development Finance Corp",2021,50000000.0,Debt Financing,Finance and FinTech
ParkSmart,New Delhi,ParkSmart is a parking management application.,"Shireen Rangaswamy, Dilesh Gathani",2021,0.0,Seed Round,Transportation and Mobility
Virohan,Gurugram,Virohan is an EdTech company that offers healthcare vocational training to students to build a career in the healthcare industry.,"Rebright Partners, Wadhwani Foundation",2021,3000000.0,Series A,Education
BankSathi,New Delhi,"Bank Sathi provides loans, insurance, cards comparison, and approval facility.","Dinesh Godara, Aditya Talwar",2021,200000.0,Seed Round,Finance and FinTech
Spark Studio,Bengaluru,Online courses to build creativity and confidence in children through extra-curricular learning,Better Capital,2021,0.0,Seed Round,Education
BlissClub,Bengaluru,"BlissClub is a community first women’s activewear brand. It is a Direct-to-Consumer brand in the active lifestyle space, founded in 2020 by ISB Alum Minu Margeret",Elevation Capital,2021,2000000.0,Seed Round,Consumer Goods
BricSpaces,Bengaluru,"A prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.",Angel investors,2021,350000.0,Pre-Seed,Real Estate and Construction
ANSR,Bengaluru,"ANSR Consulting is providing end-to-end services for companies, setting up captive service centers.","Sistema Asia Capital, Evolvence India Fund",2021,15000000.0,Series B,Professional Services
Keito,Pune,"NO-CODE <> Human-assisted machine learning platform for document processing, to break information silos for enterprises","Rajesh Agarwal, Nandkishore Mundada",2021,0.0,Seed Round,Technology
Reccy Adventures,Gurugram,Reccy Adventures is an adventure sports startup.,"Kallol Banerjee, Jaydeep Barman",2021,400000.0,Seed Round,Media and Entertainment
Magenta EV,Mumbai,Magenta is in the business of Enabling electric mobility & Making electricity clean,"JITO Angel Network, LetsVenture",2021,15000000.0,Series A,Energy and Environment
Karbon Card,Bengaluru,Karbon Card is a financial platform for Indian entrepreneurs.,"MyAsia VC, Orios Venture Partners",2021,1000000.0,Pre-Series A,Finance and FinTech
Wysa,Bengaluru,Wysa is an AI conversational agent that has been shown to help improve mental health,"W Health Ventures, Pi Ventures",2021,5000000.0,Series A,Technology
Agnikul,Chennai,"Agnikul is a space tech startup that designs, manufactures, tests, and launch orbital class rockets for micro and nano satellites.","Artha India Ventures, Sriram Krishnan",2021,11000000.0,Series A,Technology
LegalPay,New Delhi,A trusted financial partner for advocates and corporate.,9Unicorns,2021,0.0,Seed Round,Finance and FinTech
Glamplus,Bengaluru,India's #1 SaaS based Salon experience Software,Inflection Point Ventures,2021,200000.0,Pre-Series A,Technology
Tekie,Gurugram,"Tekie is a live coding platform for kids that uses the power of storytelling, to make learning to code a movie-like experience.","GSV, Multiply Ventures",2021,1500000.0,Seed Round,Education
Avalon Labs,Bengaluru,"Avalon Labs incubates, invests, partners with and spearheads technology companies that are on the cutting edge.","Tanglin Ventures, Better Capital, Whiteboard Capital",2021,0.0,Pre-Series A,Finance and FinTech
